Probability,Token
0.0005907943705096841,Ġfox
0.000564108369871974,Ġfox
0.0005355984903872013,Ġfox
0.000506685464642942,Ġfox
0.0004784850461874157,Ġfox
0.00045169205986894667,Ġfox
0.0004267904150765389,Ġfox
0.0004038872430101037,Ġfox
0.00038308172952383757,Ġfox
0.0003642478841356933,Ġfox
0.000347295543178916,Ġfox
0.0003319868410471827,Ġfox
0.0003181721840519458,Ġfox
0.00030566807254217565,Ġfox
0.00029429508140310645,Ġfox
0.0002838707296177745,Ġfox
0.0002742754586506635,Ġfox
0.00026538537349551916,Ġfox
0.0002571247750893235,Ġfox
0.00024940012372098863,Ġfox
0.0002421516546746716,Ġfox
0.00023532769409939647,Ġfox
0.00022890110267326236,Ġfox
0.00022282851568888873,Ġfox
0.00021706045663449913,Ġfox
0.00021160344476811588,Ġfox
0.00020641839364543557,Ġfox
0.00020149715419393033,Ġfox
0.00019681481353472918,Ġfox
0.0001923501113196835,Ġfox
0.00018808692402672023,Ġfox
0.00018401470151729882,Ġfox
0.00018012055079452693,Ġfox
0.00017636279517319053,Ġfox
0.00017277176084462553,Ġfox
0.00016929720004554838,Ġfox
0.0001659337431192398,Ġfox
0.00016267919272650033,Ġfox
0.00015950913075357676,Ġfox
0.0001564121339470148,Ġfox
0.00015339141828007996,Ġfox
0.00015041555161587894,Ġfox
0.0001474968157708645,Ġfox
0.00014460850798059255,Ġfox
0.00014175036631058902,Ġfox
0.00013891863636672497,Ġfox
0.00013609995949082077,Ġfox
0.0001332914107479155,Ġfox
0.00013048757682554424,Ġfox
0.00012768537271767855,Ġfox
0.0001248785702046007,Ġfox
0.00012206818792037666,Ġfox
0.00011924330465262756,Ġfox
0.00011642007302725688,Ġfox
0.00011356799950590357,Ġfox
0.00011070986511185765,Ġfox
0.00010783707693917677,Ġfox
0.0001049392667482607,Ġfox
0.00010202633711742237,Ġfox
9.909144864650443e-05,Ġfox
9.613358997739851e-05,Ġfox
9.315074566984549e-05,Ġfox
9.013198723550886e-05,Ġfox
8.708170935278758e-05,Ġfox
8.399271609960124e-05,Ġfox
8.087437163339928e-05,Ġfox
7.771886157570407e-05,Ġfox
7.453883881680667e-05,Ġfox
7.133666076697409e-05,Ġfox
6.81297096889466e-05,Ġfox
6.493729597423226e-05,Ġfox
6.179400952532887e-05,Ġfox
5.872164911124855e-05,Ġfox
5.5756285291863605e-05,Ġfox
5.293444337439723e-05,Ġfox
5.028430314268917e-05,Ġfox
4.7832778363954276e-05,Ġfox
4.560545858112164e-05,Ġfox
4.361158062238246e-05,Ġfox
4.185977377346717e-05,Ġfox
4.035114397993311e-05,Ġfox
3.9078462577890605e-05,Ġfox
3.803167783189565e-05,Ġfox
3.719588494277559e-05,Ġfox
3.655255204648711e-05,Ġfox
3.607743565225974e-05,Ġfox
3.5735592973651364e-05,Ġfox
3.54713702108711e-05,Ġfox
3.5263688914710656e-05,Ġfox
3.534176721586846e-05,Ġfox
3.6578559956979007e-05,Ġfox
4.1435072489548475e-05,Ġfox
5.25071554875467e-05,Ġfox
6.539174501085654e-05,Ġfox
6.567400851054117e-05,Ġfox
5.4091648053145036e-05,Ġfox
3.986142837675288e-05,Ġfox
2.8937254683114588e-05,Ġfox
2.200449125666637e-05,Ġfox
1.786082430044189e-05,Ġfox
1.536174022476189e-05,Ġfox
1.378576871502446e-05,Ġfox
1.2734274605463725e-05,Ġfox
1.199961388920201e-05,Ġfox
1.1462704605946783e-05,Ġfox
1.10403689177474e-05,Ġfox
1.0661972737580072e-05,Ġfox
1.0286854376317933e-05,Ġfox
9.908564607030712e-06,Ġfox
9.532466719974764e-06,Ġfox
9.168437827611342e-06,Ġfox
8.825679287838284e-06,Ġfox
8.505697223881725e-06,Ġfox
8.208460712921806e-06,Ġfox
7.932615517347585e-06,Ġfox
7.675917004235089e-06,Ġfox
7.438011834892677e-06,Ġfox
7.21565766070853e-06,Ġfox
7.0075748226372525e-06,Ġfox
6.813155778218061e-06,Ġfox
6.6301654442213476e-06,Ġfox
6.45768932372448e-06,Ġfox
6.295295406744117e-06,Ġfox
6.141382982605137e-06,Ġfox
5.995511401124531e-06,Ġfox
5.857064024894498e-06,Ġfox
5.7250076679338235e-06,Ġfox
5.599183623417048e-06,Ġfox
5.478992079588352e-06,Ġfox
5.364007847674657e-06,Ġfox
5.253756171441637e-06,Ġfox
5.147885985934408e-06,Ġfox
5.046434125688393e-06,Ġfox
4.948775313096121e-06,Ġfox
4.8547881306149065e-06,Ġfox
4.764186542161042e-06,Ġfox
4.676793651015032e-06,Ġfox
4.592420282278908e-06,Ġfox
4.510866801865632e-06,Ġfox
4.432194600667572e-06,Ġfox
4.355914370535174e-06,Ġfox
4.28221574111376e-06,Ġfox
4.210699444229249e-06,Ġfox
4.1414450606680475e-06,Ġfox
4.074411663168576e-06,Ġfox
4.009214535471983e-06,Ġfox
3.946038759750081e-06,Ġfox
3.884556917910231e-06,Ġfox
3.824817667918978e-06,Ġfox
3.7669155972253066e-06,Ġfox
3.7103045542608015e-06,Ġfox
3.65541131941427e-06,Ġfox
3.60200897375762e-06,Ġfox
3.549892880982952e-06,Ġfox
3.4992383461940335e-06,Ġfox
3.449683163125883e-06,Ġfox
3.4014778975688387e-06,Ġfox
3.3543944937264314e-06,Ġfox
3.308463647044846e-06,Ġfox
3.2635552997817285e-06,Ġfox
3.2198176995734684e-06,Ġfox
3.177096687068115e-06,Ġfox
3.1354143175121862e-06,Ġfox
3.0945759590395028e-06,Ġfox
3.054618218811811e-06,Ġfox
3.015688889718149e-06,Ġfox
2.977477834065212e-06,Ġfox
2.9401483061519684e-06,Ġfox
2.9035486477368977e-06,Ġfox
2.8677870886895107e-06,Ġfox
2.832825430232333e-06,Ġfox
2.798456534947036e-06,Ġfox
2.764946657407563e-06,Ġfox
2.73218029178679e-06,Ġfox
2.6999637157132383e-06,Ġfox
2.6684365366236307e-06,Ġfox
2.637481884448789e-06,Ġfox
2.6073362278111745e-06,Ġfox
2.577597342678928e-06,Ġfox
2.548527845647186e-06,Ġfox
2.5200406525982544e-06,Ġfox
2.492117346264422e-06,Ġfox
2.4648065846122336e-06,Ġfox
2.4379705791943707e-06,Ġfox
2.4116932308970718e-06,Ġfox
2.3858665372245014e-06,Ġfox
2.3606576178281102e-06,Ġfox
2.3359116312349215e-06,Ġfox
2.311631078555365e-06,Ġfox
2.287771394549054e-06,Ġfox
2.2645037915935973e-06,Ġfox
2.2416315914597362e-06,Ġfox
2.2192452888702974e-06,Ġfox
2.197337835241342e-06,Ġfox
2.1757566628366476e-06,Ġfox
2.1546179596043658e-06,Ġfox
2.1338955775718205e-06,Ġfox
2.113747086696094e-06,Ġfox
2.09383847504796e-06,Ġfox
2.074297071885667e-06,Ġfox
2.0552629393932875e-06,Ġfox
2.0365814634715207e-06,Ġfox
2.018171471718233e-06,Ġfox
2.000178255912033e-06,Ġfox
1.9826009065582184e-06,Ġfox
1.9654064544738503e-06,Ġfox
1.948471890500514e-06,Ġfox
1.9318954400660004e-06,Ġfox
1.9156507278239587e-06,Ġfox
1.899762537505012e-06,Ġfox
1.8841843711925321e-06,Ġfox
1.8689088392420672e-06,Ġfox
1.8539407165008015e-06,Ġfox
1.8392967149338801e-06,Ġfox
1.8249206732434686e-06,Ġfox
1.8108833046426298e-06,Ġfox
1.7970965018321294e-06,Ġfox
1.7836360939327278e-06,Ġfox
1.7703569028526545e-06,Ġfox
1.7574274124854128e-06,Ġfox
1.7447539448767202e-06,Ġfox
1.7323528709312086e-06,Ġfox
1.7201227819896303e-06,Ġfox
1.708269223854586e-06,Ġfox
1.696576873655431e-06,Ġfox
1.6850975725901662e-06,Ġfox
1.673925567047263e-06,Ġfox
