Probability,Token
0.0005907803424634039,Ġfox
0.0006141085177659988,Ġfox
0.0006327587179839611,Ġfox
0.0006458384450525045,Ġfox
0.0006531006074510515,Ġfox
0.000654750328976661,Ġfox
0.000651413225568831,Ġfox
0.0006438472191803157,Ġfox
0.0006329757161438465,Ġfox
0.0006196186295710504,Ġfox
0.0006044360343366861,Ġfox
0.0005880863755010068,Ġfox
0.0005710158147849143,Ġfox
0.000553618127014488,Ġfox
0.0005361430812627077,Ġfox
0.0005187940550968051,Ġfox
0.0005016979994252324,Ġfox
0.0004849851247854531,Ġfox
0.00046867391210980713,Ġfox
0.00045277911704033613,Ġfox
0.00043736177030950785,Ġfox
0.0004224221338517964,Ġfox
0.00040793465450406075,Ġfox
0.000393898953916505,Ġfox
0.00038030475843697786,Ġfox
0.00036716373870149255,Ġfox
0.00035445872345007956,Ġfox
0.0003421794390305877,Ġfox
0.00033033930230885744,Ġfox
0.00031891954131424427,Ġfox
0.0003078946901950985,Ġfox
0.00029728474328294396,Ġfox
0.00028708684840239584,Ġfox
0.0002772796724457294,Ġfox
0.000267855532001704,Ġfox
0.0002588110219221562,Ġfox
0.0002501309209037572,Ġfox
0.00024180280161090195,Ġfox
0.0002338320919079706,Ġfox
0.00022618092771153897,Ġfox
0.00021885379101149738,Ġfox
0.00021182985801715404,Ġfox
0.00020510989998001605,Ġfox
0.00019865634385496378,Ġfox
0.00019247700402047485,Ġfox
0.0001865558442659676,Ġfox
0.00018087553326040506,Ġfox
0.00017543086141813546,Ġfox
0.00017020061204675585,Ġfox
0.00016518823395017534,Ġfox
0.00016036791203077883,Ġfox
0.000155736823217012,Ġfox
0.0001512850431026891,Ġfox
0.00014700015890412033,Ġfox
0.0001428750401828438,Ġfox
0.0001389054232276976,Ġfox
0.00013507621770258993,Ġfox
0.0001313840039074421,Ġfox
0.00012782002158928663,Ġfox
0.00012438310659490526,Ġfox
0.00012105963105568662,Ġfox
0.0001178481470560655,Ġfox
0.00011474118946352974,Ġfox
0.00011173698294442147,Ġfox
0.00010883540380746126,Ġfox
0.00010602041584206745,Ġfox
0.00010329920041840523,Ġfox
0.0001006655948003754,Ġfox
9.811786731006578e-05,Ġfox
9.565394429955631e-05,Ġfox
9.326535655418411e-05,Ġfox
9.09578739083372e-05,Ġfox
8.872259058989584e-05,Ġfox
8.65594920469448e-05,Ġfox
8.446742140222341e-05,Ġfox
8.244380296673626e-05,Ġfox
8.048624295042828e-05,Ġfox
7.859096513129771e-05,Ġfox
